00001648 | 6 7 33 38 44 4 8 | 27-1-2013
00001207 | 4 25 29 32 42 4 10 | 3-10-1981
00001851 | 6 22 24 27 28 4 11 | 22-8-1997
00001082 | 3 7 8 16 36 4 5 | 18-11-2021
00000228 | 16 17 21 35 36 3 7 | 24-12-1964
00000335 | 14 26 30 32 38 2 9 | 13-4-2008
00001383 | 8 30 37 45 46 1 8 | 20-1-1976
00001450 | 7 12 38 46 47 1 3 | 6-2-2012
00001408 | 30 40 42 46 47 7 8 | 18-5-1982
00001000 | 16 19 22 24 35 2 4 | 13-3-2012
00001924 | 12 19 27 42 45 4 10 | 21-5-1965
00000613 | 8 10 15 25 45 1 3 | 17-2-1988
00000084 | 16 30 39 41 46 7 9 | 9-2-1986
00000954 | 10 22 28 34 46 3 9 | 2-8-1983
00000389 | 2 22 31 47 48 6 9 | 21-5-1978
00001945 | 6 10 26 43 47 6 7 | 15-1-1953
00000449 | 24 27 35 44 47 8 11 | 15-2-1978
00001206 | 5 7 25 39 50 9 10 | 26-11-1967
00000788 | 12 14 28 36 43 1 2 | 21-8-1997
00000715 | 6 9 12 19 48 5 7 | 26-10-2008
00001443 | 7 23 29 39 48 9 10 | 24-7-2008
00000198 | 9 22 37 43 47 8 9 | 2-5-1968
00001197 | 2 5 19 22 32 2 11 | 6-3-1968
00000043 | 1 12 28 29 48 1 5 | 9-2-2004
00001229 | 18 21 33 38 50 2 6 | 23-2-1971
00001281 | 15 20 31 38 44 2 5 | 23-4-2015
00001056 | 7 10 19 24 26 3 5 | 5-9-2016
00000708 | 12 22 27 35 50 1 3 | 18-6-2019
00001184 | 11 23 31 34 49 5 8 | 19-9-2015
00000681 | 1 2 12 22 31 3 6 | 3-10-1989
00000163 | 12 14 18 26 41 5 6 | 27-6-2014
00001626 | 3 4 16 19 40 1 9 | 26-8-1978
00000198 | 3 23 24 33 42 9 10 | 16-4-2003
00000741 | 12 19 20 23 33 1 4 | 2-1-1972
00000294 | 16 17 27 29 47 7 8 | 9-12-2007
00001388 | 1 10 20 26 40 5 6 | 13-12-1951
00001934 | 19 20 25 44 45 4 5 | 1-8-1971
00001549 | 15 31 39 40 48 9 10 | 22-5-1989
00001112 | 10 11 19 37 46 9 11 | 4-1-1959
00001698 | 24 25 31 36 38 3 5 | 4-2-1964
00001865 | 2 35 36 48 49 8 10 | 10-3-1999
00000812 | 14 15 19 35 36 1 10 | 24-9-2005
00000172 | 4 8 11 13 15 6 10 | 17-10-1971
00001521 | 1 15 29 47 49 3 6 | 15-4-1974
00001797 | 2 6 16 34 49 6 9 | 26-9-1985
00000975 | 10 15 23 34 41 8 10 | 25-2-1979
00000761 | 3 10 15 29 33 5 8 | 7-3-1954
00000895 | 4 8 26 37 38 3 7 | 13-7-1970
00000371 | 5 20 23 33 50 6 7 | 26-8-1986
00001380 | 6 18 32 34 41 1 7 | 13-10-1960
00001217 | 1 27 33 34 40 3 5 | 14-4-1956
00000193 | 1 6 7 32 47 4 5 | 24-1-2019
00000655 | 4 12 44 45 47 1 7 | 2-1-1954
00000100 | 2 11 22 43 44 8 9 | 2-3-2011
00000564 | 1 2 13 40 45 3 8 | 9-7-1965
00001450 | 3 21 23 28 44 10 11 | 18-5-1964
00000213 | 12 21 27 28 47 9 11 | 21-9-1965
00001956 | 19 20 29 34 43 3 6 | 14-4-2008
00001689 | 8 24 34 48 49 9 10 | 0-8-1967
00001404 | 3 14 17 21 47 6 7 | 7-12-1975
00001148 | 1 21 26 28 44 5 8 | 20-12-1993
00001827 | 13 24 28 37 39 4 11 | 3-6-2020
00001869 | 1 30 31 43 50 7 10 | 16-5-1982
00001149 | 10 11 14 20 38 8 10 | 8-10-1967
00000405 | 12 14 27 47 49 9 10 | 9-2-2013
00001187 | 1 6 32 37 42 4 6 | 19-1-1962
00001900 | 18 21 35 39 46 6 8 | 11-7-1985
00001192 | 1 32 39 45 50 6 11 | 21-8-2020
00000286 | 1 15 29 47 50 1 8 | 5-10-1990
00000753 | 5 12 14 17 48 1 6 | 16-2-1985
00001967 | 24 32 42 44 45 4 8 | 5-7-2003
00001088 | 4 15 16 18 23 6 11 | 24-10-2007
00000632 | 11 17 24 30 32 9 10 | 13-6-2009
00000294 | 1 6 19 21 36 3 9 | 11-7-1961
00001750 | 8 14 28 31 33 2 3 | 20-10-1968
00000667 | 6 24 31 35 47 3 11 | 4-12-1977
00001292 | 6 9 16 18 34 9 11 | 1-8-2009
00000187 | 19 20 22 28 32 2 9 | 4-8-1993
00001959 | 3 13 26 28 33 8 11 | 14-4-2016
00001021 | 7 35 38 45 46 2 6 | 10-10-2003
00001184 | 1 25 31 43 44 1 7 | 3-3-1967
00001010 | 1 13 21 26 49 2 9 | 24-7-1972
00001644 | 11 30 32 44 46 1 2 | 16-5-2014
00000690 | 2 11 21 41 49 6 8 | 3-9-1991
00000685 | 2 14 15 45 47 1 11 | 21-3-1993
00001871 | 1 19 38 45 47 8 11 | 2-1-1971
00000429 | 2 13 16 28 45 5 7 | 23-11-2007
00001170 | 20 26 30 38 42 6 9 | 26-7-2004
00000164 | 13 26 28 33 43 6 8 | 8-6-1996
00001018 | 15 27 35 39 45 5 6 | 27-5-1977
00000388 | 19 21 24 42 43 3 7 | 15-1-1997
00000873 | 16 17 33 36 38 3 10 | 5-6-1965
00001243 | 6 11 19 20 32 2 10 | 10-6-1956
00001971 | 11 12 14 33 46 3 4 | 8-3-1969
00000476 | 17 22 37 38 45 6 10 | 19-1-2003
00000868 | 18 32 34 36 37 2 11 | 14-3-2003
00001108 | 21 25 32 41 43 2 3 | 7-5-1954
00001438 | 18 41 43 46 50 7 11 | 20-2-1988
00000238 | 10 12 28 42 46 2 3 | 10-10-1977
00000542 | 9 11 28 38 46 6 11 | 10-6-1959
00000430 | 8 10 13 31 47 3 4 | 12-9-1986
00001082 | 16 20 26 36 40 7 11 | 27-8-2019
00000706 | 8 14 18 33 37 1 4 | 7-9-1982
00000744 | 7 35 37 43 47 4 7 | 27-3-2007
00000601 | 20 29 35 38 43 2 9 | 18-8-1988
00000852 | 11 12 20 22 40 8 10 | 17-11-2006
00001999 | 8 25 32 33 36 2 5 | 6-4-1961
00001202 | 2 6 7 31 36 7 10 | 14-6-1954
00001980 | 11 13 21 36 49 1 5 | 27-6-1975
00001590 | 17 31 45 46 50 9 10 | 14-4-2018
00000106 | 2 4 13 23 41 2 3 | 7-1-1991
00000659 | 24 26 32 43 47 1 5 | 22-6-2016
00000067 | 12 16 25 27 40 2 6 | 6-5-2001
00000086 | 4 5 7 20 33 5 11 | 26-12-1956
00001537 | 7 23 24 29 41 5 7 | 24-1-2004
00001369 | 10 14 20 36 40 4 8 | 0-7-2013
00001181 | 15 20 22 33 39 2 5 | 3-2-1950
00001849 | 5 7 23 28 44 7 9 | 24-12-2019
00001370 | 19 26 34 45 46 5 11 | 16-1-2010
00000215 | 2 17 25 37 46 4 6 | 8-7-2021
00001937 | 5 23 29 44 46 3 7 | 12-11-1992
00000877 | 1 10 16 33 42 2 6 | 23-8-2001
00001374 | 8 10 15 25 40 3 8 | 27-2-1985
00001989 | 2 23 26 27 41 3 7 | 20-9-1982
00000756 | 2 26 29 32 36 8 11 | 10-10-1983
00001756 | 3 12 20 34 39 8 10 | 24-10-1998
00000674 | 10 28 30 36 45 6 7 | 18-9-1963
00000956 | 4 21 26 39 49 4 6 | 24-7-2003
00001841 | 3 30 36 37 47 3 9 | 1-2-1973
00000192 | 16 17 23 29 39 9 10 | 2-4-1982
00000803 | 14 20 27 38 49 1 4 | 11-7-2020
00001036 | 14 23 32 34 38 4 7 | 7-4-1977
00001144 | 24 25 31 34 48 2 4 | 2-12-1962
00000643 | 11 18 19 33 37 2 6 | 18-7-2021
00000567 | 4 9 36 45 46 9 11 | 3-9-1966
00001577 | 8 30 36 47 50 3 4 | 15-8-1966
00000078 | 5 11 38 44 48 1 8 | 11-11-1990
00000922 | 5 15 19 23 44 2 4 | 8-9-1961
00001543 | 4 16 27 33 34 5 11 | 20-8-1994
00000790 | 11 14 27 39 49 4 7 | 11-7-2006
00001207 | 30 40 42 43 49 2 4 | 13-7-1969
00000921 | 10 16 22 25 45 2 10 | 27-12-2003
00001005 | 1 16 29 39 41 2 8 | 11-5-2001
00000818 | 8 25 40 44 48 4 5 | 15-10-2002
00001200 | 9 16 17 20 26 3 5 | 13-11-1979
00001993 | 12 22 26 35 50 4 8 | 19-6-1968
00001317 | 21 22 26 29 31 7 10 | 18-6-2000
00001178 | 2 7 24 28 37 5 7 | 18-5-2019
00001862 | 1 22 29 34 49 6 7 | 16-1-1974
00000995 | 5 9 25 29 46 4 5 | 14-7-2016
00001817 | 6 8 29 32 38 5 7 | 14-6-1993
00001132 | 14 17 35 48 50 3 4 | 13-2-1999
00000810 | 27 31 35 36 41 9 10 | 22-12-2005
00001667 | 7 14 19 37 50 2 3 | 11-12-2015
00000472 | 2 12 25 28 34 2 9 | 25-2-1977
00000650 | 10 22 26 31 35 6 10 | 27-7-1963
00000137 | 8 21 34 38 39 6 7 | 21-1-1995
00001378 | 5 20 28 44 47 5 7 | 10-1-1965
00001127 | 7 9 26 29 30 9 10 | 2-3-1975
00000940 | 10 22 24 30 42 4 5 | 1-12-1977
00000132 | 37 44 48 49 50 10 11 | 11-5-1980
00000320 | 5 10 16 39 43 4 10 | 27-8-1967
00000014 | 14 33 41 47 49 3 6 | 8-6-2019
00001612 | 7 9 16 21 50 6 11 | 17-2-1953
00001589 | 4 7 13 17 24 4 6 | 1-11-1998
00000712 | 1 11 14 27 35 7 10 | 11-11-1997
00000617 | 12 38 39 46 49 1 9 | 20-8-1954
00001233 | 4 21 34 36 42 6 9 | 8-9-2012
00001488 | 7 24 29 31 49 4 8 | 1-11-2003
00001141 | 4 9 13 16 19 4 7 | 9-12-2012
00001155 | 4 6 11 21 27 4 6 | 8-3-1959
00001595 | 19 23 34 47 48 4 8 | 3-4-1972
00000131 | 9 10 17 21 40 4 7 | 18-8-1989
00001684 | 12 13 22 32 46 6 9 | 4-2-1957
00001890 | 28 32 38 39 43 1 9 | 20-7-2006
00001614 | 10 19 24 33 40 7 9 | 13-9-1964
00001056 | 3 12 20 22 39 2 4 | 23-5-1973
00000241 | 4 11 16 19 33 3 11 | 14-8-1951
00000678 | 27 35 44 45 49 2 8 | 12-5-1966
00000834 | 1 6 16 28 48 5 10 | 15-9-2021
00000450 | 1 21 28 33 49 4 6 | 27-5-1968
00000777 | 3 8 23 31 41 6 11 | 4-4-1992
00001844 | 4 6 35 38 47 3 8 | 1-5-1964
00001155 | 15 17 18 30 42 2 3 | 13-5-1993
00000157 | 11 12 28 32 48 8 9 | 17-3-2004
00000103 | 16 18 25 44 45 4 8 | 6-8-1983
00001932 | 11 13 20 37 40 1 10 | 12-6-1969
00000914 | 11 14 17 39 49 5 6 | 18-10-1978
00001700 | 4 13 18 21 34 1 3 | 20-11-1956
00001577 | 3 4 11 14 45 5 6 | 0-4-1978
00000960 | 5 8 14 16 42 2 6 | 6-9-1959
00001441 | 31 35 36 39 43 8 10 | 20-11-1966
00001747 | 7 14 27 38 44 5 6 | 7-10-1983
00000371 | 7 8 11 24 46 2 8 | 3-11-2017
00000262 | 4 7 9 12 36 2 11 | 24-4-1968
00001833 | 2 4 12 35 42 6 7 | 2-12-1983
00001845 | 6 12 23 25 44 1 5 | 12-9-1987
00000793 | 1 7 27 35 46 3 5 | 10-8-2015
00001289 | 12 22 28 34 45 5 9 | 24-6-2009
00000765 | 5 17 18 35 39 2 9 | 4-4-1965
00001444 | 5 6 8 17 22 4 7 | 11-3-1985
00000635 | 14 21 23 36 47 1 10 | 13-3-1992
00000999 | 2 6 32 38 48 1 9 | 8-12-2004
00001887 | 8 9 32 35 48 3 5 | 21-5-1986
00000781 | 7 8 9 20 30 4 9 | 13-7-1973
00001759 | 6 11 12 30 40 2 4 | 3-7-1955
00000473 | 2 8 10 41 49 4 10 | 23-9-1985
00001255 | 3 4 23 24 31 1 8 | 27-11-1951
00000130 | 20 24 36 40 42 7 11 | 1-6-1964
00001328 | 11 27 35 37 42 5 7 | 17-7-1956
00000629 | 25 29 38 41 48 3 9 | 23-8-1998
00000138 | 19 20 24 39 48 8 11 | 10-5-1982
00000395 | 2 3 31 35 38 5 9 | 3-11-2004
00001049 | 12 17 20 27 37 3 11 | 1-8-1967
00001015 | 7 18 27 34 35 1 7 | 0-8-1960
00001509 | 4 27 36 39 44 5 8 | 21-5-1979
00001961 | 28 30 38 40 42 4 11 | 18-10-2006
00000744 | 5 15 22 33 40 3 11 | 21-10-1986
00000829 | 9 16 27 36 45 5 7 | 2-5-1998
00000778 | 12 14 41 42 50 1 2 | 6-2-1956
00000983 | 9 20 33 34 40 1 6 | 25-12-1959
00000741 | 5 18 33 44 49 6 7 | 9-1-2001
00000688 | 7 10 25 28 43 4 6 | 12-7-1983
00001056 | 8 26 34 38 48 2 9 | 25-3-1955
00000334 | 5 35 40 42 46 3 8 | 1-9-1957
00000885 | 14 28 33 40 43 10 11 | 5-10-1983
00001572 | 13 30 45 46 48 7 8 | 4-2-1976
00000336 | 4 21 22 26 29 2 4 | 26-4-1988
00000155 | 1 29 30 33 41 8 9 | 5-7-1963
00000185 | 35 39 42 46 47 4 10 | 13-10-2001
00001295 | 3 18 31 32 33 3 10 | 14-10-1966
